,0,1,2,3,4,5,6,7,8,9,10
0,№,Код станции,Код станции,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
1,№,междуна-родный,региональ-ный,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
2,1,ADZR,ADZR,Андозеро,OBGSR,63.9295,38.2853,51,06.11.2015,,rds
3,2,AER.SM,AER,Аэрологическая,KAGSR,53.0858,158.554,80,01.01.1986,,sds
4,3,AHMR,AHMR,Ахметовская,OBGSR,44.1576,41.044,640,19.10.2012,09.11.2017,rds
5,4,AKAR,АКAR,Акташ,ASGSR,50.3252,87.621,1421,02.01.2001,,rds
6,5,AKAR.SM,АКAR,Акташ,ASGSR,50.3252,87.621,1421,02.01.2001,31.12.2012,sds
7,6,AKT,AKT,Ахты,DAGSR,41.4793,47.7148,1115,04.06.1974,,rds
8,7,AKT.SM,AHT,Ахты,DAGSR,41.4793,47.7148,1115,04.06.1974,17.10.2010,sas
9,8,ALDR,ALD,Алдан,YAGSR,58.61,125.41,662,01.10.1999,,rds
10,9,ALER,ALER,Александровское,KMGSR,44.7631,42.9136,510,13.10.2012,,rds
11,10,ALID,ALD,Алаид,KAGSR,50.8756,155.552,1400,08.08.2001,,lds
12,11,ALXA,ALXA,Алексеевка,ASGSR,54.93,82.587,133,28.02.2012,17.01.2019,rds
13,12,AMDE,AMDE,Амдерма,FCIAR,69.761,61.678,48,01.11.2010,04.10.2019,rds
14,13,AMDE,AMDE1,Амдерма,FCIAR,69.721,61.669,40,05.10.2019,,rds
15,14,AMDR,AMD,Амдерма,KOGSR,69.744,61.648,5,22.07.1983,01.05.2004,rds
16,15,ANDR,ANDR,Анадырь,NEGSR,64.732,177.487,108,25.12.2017,,rds
17,16,ANDR,ANDR,Анадырь,NEGSR,64.734,177.496,70,24.01.2003,24.12.2017,rds
